Label,Input URL,University Name,Department Name,Faculty Directory Homepage
1,https://cs.illinois.edu/,University of Illinois at Urbana-Champaign,Computer Science,https://cs.illinois.edu/about/people/all-faculty
0,https://extension.illinois.edu/,,,
0,https://campusrec.illinois.edu/,,,
1,https://csd.cmu.edu/,Carnegie Mellon University,Computer Science,https://www.csd.cs.cmu.edu/directory/faculty
0,https://nextpittsburgh.com/,Carnegie Mellon University,,
0,https://www.cmu.edu/engage/give/opportunities/index.html,Carnegie Mellon University,,
1,https://cs.stanford.edu/,Stanford University,Computer Science,https://www.cs.stanford.edu/directory/faculty
0,https://support.cs.stanford.edu/hc/en-us,,,
0,https://gostanford.com/,,,
1,https://cs.uic.edu/,University of Illinois in Chicago,Computer Science,https://cs.uic.edu/faculty-staff/faculty/
0,https://cybertalentinitiative.org/,,,
1,https://www.cs.uchicago.edu/,University of Chicago,Computer Science,https://www.cs.uchicago.edu/people/faculty/
0,https://www.chicago.gov/city/en/sites/covid-19/home/emergency-travel-order.html,,,
1,https://cs.vt.edu/,Virrginia Tech,Computer Science,https://cs.vt.edu/People/Faculty.html
0,https://www.bkstr.com/virginiatechstore/home,,,
1,https://www.cs.purdue.edu/index.html,Purdue University,Computer Science,https://www.cs.purdue.edu/people/faculty/index.html
0,https://www.lib.purdue.edu/,,,
1,https://www.cs.washington.edu/,University of Washington,Computer Science,https://www.cs.washington.edu/people/faculty
0,https://www.uwmedicine.org/,,,
1,https://www.eecs.mit.edu/,MIT,Computer Science,https://www.eecs.mit.edu/people/faculty-advisors
0,http://calendars.mit.edu/eecs,,,
1,https://www.scs.gatech.edu/,Georgia Tech,Computer Science,https://www.scs.gatech.edu/people/faculty
1,https://samueli.ucla.edu/,UCLA,Computer Science,https://www.cs.ucla.edu/faculty/
1,,The University of Texas at Austin,Computer Science,https://www.cs.utexas.edu/faculty
1,,University of Wisconsin-Madison,Computer Science,https://www.cs.wisc.edu/people/faculty/
1,,UC Berkeley,Computer Science,https://www2.eecs.berkeley.edu/Faculty/Lists/CS/faculty.html
1,,California Institute of Technology ,Computer Science,http://www.cms.caltech.edu/people
1,,Cornell University ,Computer Science,https://www.cs.cornell.edu/people/faculty
1,,University of Colorado Boulder,Computer Science,https://www.colorado.edu/cs/faculty
1,,Michigan State University,Computer Science and Engineering,http://www.cse.msu.edu/People/
1,,University of Pennsylvania,Computer and Information Science,http://www.cis.upenn.edu/about-people/index.php
1,,University of Michigan,Computer Science and Engineering,http://www.eecs.umich.edu/eecs/faculty/csefaculty.html
1,,University of Alabama,Computer Science,http://cs.ua.edu/people/
1,,Cambridge University,Computer Science,https://www.cl.cam.ac.uk/people/academic.html
1,,University of Melbourne,Computer Science,https://cis.unimelb.edu.au/people/
1,,Rice University,Computer Science,https://csweb.rice.edu/faculty
1,,University of Toronto,Computer Science,http://web.cs.toronto.edu/people/faculty.htm
1,,University of Georgia,Computer Science,http://www.cs.uga.edu/faculty-directory
1,,Johns Hopkins University,Computer Science,https://www.cs.jhu.edu/faculty/
1,,University of British Columbia,Computer Science,https://www.cs.ubc.ca/our-department/people/faculty
1,,University of Southern California,Computer Science,https://www.cs.usc.edu/directory/faculty/
1,,University of North Carolina at Chapel Hill,Computer Science,https://cs.unc.edu/people-page/faculty/
1,,Harvard University,Computer Science,https://www.seas.harvard.edu/computer-science/people
1,,UC Davis,Computer Science,https://www.cs.ucdavis.edu/people/faculty/
1,,Texas Tech University,Computer Science,https://www.depts.ttu.edu/cs/faculty/
1,,University of Oxford ,Computer Science,http://www.cs.ox.ac.uk/people/faculty.html
1,,UC San Diego,Computer Science and Engineering,https://cse.ucsd.edu/people/faculty-profiles/faculty
1,,San Francisco State University,Computer Science,https://cs.sfsu.edu/people/faculty-and-staff
1,,Ohio State University,Computer Science,https://cse.osu.edu/about-us/faculty
1,,University of Rochester,Computer Science,http://www.cs.rochester.edu/wcms/people/faculty/
1,,Duke University ,Computer Science ,https://www.cs.duke.edu/people/faculty
1,,UC Santa Barbara,Computer Science,https://www.cs.ucsb.edu/people
1,,University of Oklahoma,Computer Science,http://www.ou.edu/coe/cs/people
1,,Yale University,Computer Science,https://cpsc.yale.edu/people/faculty
1,,Princeton University,Computer Science,https://www.cs.princeton.edu/people/faculty
1,,Brown University,Computer Science,http://cs.brown.edu/people/faculty/
1,,Boston University,Computer Science,https://www.bu.edu/cs/people/faculty/
1,,Columbia University,Computer Science,https://www.cs.columbia.edu/people/faculty/
1,https://cs.nyu.edu/,New York University,Computer Science,https://cs.nyu.edu/dynamic/people/faculty/
1,,Northeastern University,Computer Science,https://www.khoury.northeastern.edu/role/teaching-faculty/
1,,University of Wisconsin-Greenbay,Computer Science,https://www.uwgb.edu/computer-science/faculty-staff/
1,,Florida International University,Computer and Information Science,https://www.cis.fiu.edu/people/faculty/
1,,Tufts University,Computer Science,https://engineering.tufts.edu/cs/people/faculty
1,,Georgetown University,Computer Science,https://cs.georgetown.edu/people/faculty
1,,University of Pennsylvania,Bio Engineering,"http://www.ese.upenn.edu/about-people/index.php
"
1,,North Carolina State University,Computer Science,https://www.csc.ncsu.edu/directories/faculty.php
1,,UC Irvine,Computer Science,https://www.ics.uci.edu/faculty/
1,,Rensselaer Polytechnic Institute,Computer Science,https://science.rpi.edu/computer-science/faculty
1,,UC Santa Cruz,Computer Science and Engineering ,https://www.soe.ucsc.edu/departments/computer-science-engineering/people/faculty
1,,Stony Brook University,Computer Science,https://www.cs.stonybrook.edu/people/faculty
1,,University of Minnesota,Computer Science and Engineering ,https://www.cs.umn.edu/people/faculty
